,permno,Quarter,Unnamed: 0_x,date,ret,shrcd,price,me,Unnamed: 0_y,ea_date,fiscal_period,gics_6d,ret_ex_3d,date_diff,doy_diff
32,10239,2021Q1,210.0,2021-03-31,0.0026189871132373,11.0,22.8700008392334,327757.5868091583,659,2021-03-11,2020-12-31,403010,-0.05614391,16,14
33,10252,2021Q1,215.0,2021-03-31,-0.009823408909142,11.0,84.19000244140625,2780374.8306274414,715,2021-01-21,2020-12-31,401010,-0.0008083924,7,5
34,10252,2021Q2,218.0,2021-06-30,-0.0689866542816162,11.0,75.5,2494369.0,716,2021-04-22,2021-03-31,401010,0.010383311,0,-2
35,10252,2021Q3,221.0,2021-09-30,-0.0009125871583819,11.0,76.1500015258789,2516300.6504211426,717,2021-07-22,2021-06-30,401010,-0.022079276,0,-2
36,10252,2021Q4,224.0,2021-12-31,0.03731345012784,11.0,81.52999877929688,3860445.442199707,718,2021-10-21,2021-09-30,401010,0.01524176,0,-2
37,10257,2021Q2,242.0,2021-06-30,0.0263620559126138,11.0,11.68000030517578,146525.60382843018,733,2021-05-05,2021-03-31,202020,-0.035836138,0,-2
38,10257,2021Q3,245.0,2021-09-30,0.0512820854783058,11.0,12.300000190734863,156382.20242500305,734,2021-08-04,2021-06-30,202020,-0.004334865,0,-2
39,10257,2021Q4,248.0,2021-12-31,0.5696969628334045,11.0,20.71999931335449,264552.95123291016,735,2021-12-06,2021-09-30,202020,0.06659039,0,-2
40,10258,2021Q1,251.0,2021-03-31,-0.2392909675836563,11.0,20.600000381469727,816069.0151119232,759,2021-03-29,2020-12-31,352010,-0.21532083,4,-2
41,10258,2021Q3,257.0,2021-09-30,0.0254510939121246,11.0,53.9900016784668,2519335.448322296,760,2021-08-05,2021-06-30,352010,0.05296023,0,-2
42,10258,2021Q4,260.0,2021-12-31,0.0141732525080442,11.0,38.63999938964844,1805647.1714782715,761,2021-11-11,2021-09-30,352010,-0.08141297,7,0
43,10294,2021Q1,263.0,2021-03-31,0.0245680455118417,11.0,36.91999816894531,676907.894317627,861,2021-02-17,2020-12-31,255040,-0.03338909,1,-1
44,10294,2021Q2,266.0,2021-06-30,-0.0659986659884452,11.0,42.880001068115234,780357.2129974365,862,2021-04-27,2021-03-31,255040,0.041052155,-1,-24
45,10294,2021Q3,269.0,2021-09-30,-0.055415604263544,11.0,33.75,617349.1044158936,863,2021-07-27,2021-06-30,255040,-0.052673724,-13,-15
46,10294,2021Q4,272.0,2021-12-31,-0.0044510462321341,11.0,30.19499969482422,544244.1995620728,864,2021-10-28,2021-09-30,255040,-0.13743351,1,-1
47,10308,2021Q1,275.0,2021-03-31,0.0694425851106643,11.0,82.69999694824219,1238845.954284668,1055,2021-01-29,2020-12-31,401010,-0.009904775,0,-2
48,10308,2021Q2,278.0,2021-06-30,-0.0442391112446785,11.0,77.55999755859375,1156031.7636108398,1056,2021-04-30,2021-03-31,401010,0.010904284,0,-2
49,10308,2021Q3,281.0,2021-09-30,0.0165850911289453,11.0,80.91000366210938,1192370.723968506,1057,2021-07-23,2021-06-30,401010,-6.576417e-05,0,-2
