,permno,Quarter,Unnamed: 0_x,date,ret,shrcd,price,me,Unnamed: 0_y,ea_date,fiscal_period,gics_6d,ret_ex_3d,date_diff,doy_diff,weekday,most_popular_weekday,fraction_on_most_popular_weekday,quantile_group,fraction_of_zeros
146,10933,2021Q1,707.0,2021-03-31,0.0466751866042614,11.0,1139.6199951171875,15699405.052734377,2850,2021-02-02,2020-12-31,403010,0.05199579,0,-2,Tuesday,Tuesday,0.75,below_median,0.25
147,10933,2021Q2,710.0,2021-06-30,-0.0316445082426071,11.0,1186.7099609375,16326755.642578123,2851,2021-04-28,2021-03-31,403010,-0.024436807,1,-1,Wednesday,Tuesday,0.75,below_median,0.25
148,10933,2021Q3,713.0,2021-09-30,-0.0591379627585411,11.0,1195.1300048828125,16403159.317016602,2852,2021-08-03,2021-06-30,403010,0.003184926,7,5,Tuesday,Tuesday,0.75,above_median,0.25
149,10933,2021Q4,716.0,2021-12-31,0.0327915959060192,11.0,1234.0,16866312.0,2853,2021-11-02,2021-09-30,403010,-0.008333822,7,5,Tuesday,Tuesday,0.75,above_median,0.25
154,11018,2021Q1,755.0,2021-03-31,0.0734032839536666,11.0,11.260000228881836,2457258.589948654,2998,2021-01-29,2020-12-31,401010,0.049984984,3,1,Friday,Friday,0.5,above_median,0.0
155,11018,2021Q2,758.0,2021-06-30,-0.0680218860507011,11.0,11.920000076293944,2570130.816450119,2999,2021-04-26,2021-03-31,401010,0.024094114,-3,-5,Monday,Friday,0.5,above_median,0.0
156,11018,2021Q3,761.0,2021-09-30,0.0329929366707801,11.0,13.149999618530272,2741788.0704631805,3000,2021-07-23,2021-06-30,401010,-0.008033736,-4,-6,Friday,Friday,0.5,above_median,0.0
157,11018,2021Q4,764.0,2021-12-31,0.0368698090314865,11.0,13.779999732971191,2833788.0450868607,3001,2021-10-25,2021-09-30,401010,0.055731192,-4,-6,Monday,Friday,0.5,above_median,0.0
158,11144,2021Q1,779.0,2021-03-31,0.0466188192367553,11.0,20.40999984741211,630709.815284729,3148,2021-03-11,2020-12-31,151010,0.027848184,3,1,Thursday,Monday,0.6666666666666666,above_median,0.0
159,11144,2021Q3,785.0,2021-09-30,-0.0169601906090974,11.0,15.050000190734863,464713.9058895111,3149,2021-08-09,2021-06-30,151010,0.024720857,4,2,Monday,Monday,0.6666666666666666,above_median,0.0
160,11144,2021Q4,788.0,2021-12-31,0.1467504501342773,11.0,16.389999389648438,507008.2411193848,3150,2021-11-08,2021-09-30,151010,0.06796814,-1,-2,Monday,Monday,0.6666666666666666,below_median,0.0
161,11208,2021Q1,839.0,2021-03-31,0.1755567789077759,11.0,22.6200008392334,1166038.4232616425,3204,2021-01-25,2020-12-31,401010,-0.09795901,-3,-4,Monday,Wednesday,0.75,above_median,0.0
162,11208,2021Q2,842.0,2021-06-30,-0.0788381546735763,11.0,22.1200008392334,1142254.7233371737,3205,2021-04-21,2021-03-31,401010,0.007066741,-8,-9,Wednesday,Wednesday,0.75,above_median,0.0
163,11208,2021Q3,845.0,2021-09-30,0.0642587095499038,11.0,25.21999931335449,1302915.6045265198,3206,2021-07-21,2021-06-30,401010,0.04610349,-1,-4,Wednesday,Wednesday,0.75,below_median,0.0
164,11208,2021Q4,848.0,2021-12-31,0.1070539057254791,11.0,26.559999465942383,1323936.29337883,3207,2021-10-20,2021-09-30,401010,0.011193137,-2,-4,Wednesday,Wednesday,0.75,above_median,0.0
169,11292,2021Q3,905.0,2021-09-30,0.0218232125043869,11.0,9.35990047454834,72464.34947395325,3310,2021-08-12,2021-06-30,352010,-0.03091383,1,-1,Thursday,Monday,0.5,below_median,0.0
170,11292,2021Q4,908.0,2021-12-31,-0.1041321530938148,11.0,8.000100135803223,61936.77525138855,3311,2021-11-15,2021-09-30,352010,-0.008280831,4,2,Monday,Monday,0.5,above_median,0.0
175,11308,2021Q1,923.0,2021-03-31,0.0845069885253906,11.0,52.709999084472656,227143831.57470703,3425,2021-02-10,2020-12-31,302010,0.0061438093,13,11,Wednesday,Wednesday,0.75,above_median,0.25
