,permno,Quarter,Unnamed: 0_x,date,ret,shrcd,price,me,Unnamed: 0_y,ea_date,fiscal_period,gics_6d,ret_ex_3d,date_diff,doy_diff,weekday,most_popular_weekday,fraction_on_most_popular_weekday,quantile_group,fraction_of_zeros
879,13962,2021Q2,9332.0,2021-06-30,0.1675977408885956,11.0,64.79000091552734,2948074.621658325,16478,2021-05-10,2021-03-31,352030,-0.10241611,4,2,Monday,Monday,0.5,above_median,0.0
880,13962,2021Q3,9335.0,2021-09-30,-0.1750859469175339,11.0,48.0099983215332,2191128.313396454,16479,2021-08-04,2021-06-30,352030,-0.013839682,-5,-7,Wednesday,Monday,0.5,above_median,0.0
881,13962,2021Q4,9338.0,2021-12-31,0.0274939443916082,11.0,42.22999954223633,1931135.649066925,16480,2021-11-09,2021-09-30,352030,-0.031523302,1,-1,Tuesday,Monday,0.5,below_median,0.0
886,13967,2021Q1,9377.0,2021-03-31,-0.170753076672554,11.0,47.34999847412109,3333723.9925689697,16545,2021-02-25,2020-12-31,352010,0.01623523,-4,-6,Thursday,Thursday,0.75,above_median,0.25
887,13967,2021Q2,9380.0,2021-06-30,0.0763941928744316,11.0,42.27000045776367,2982528.962299347,16546,2021-05-04,2021-03-31,352010,0.02585288,5,3,Tuesday,Thursday,0.75,above_median,0.25
888,13967,2021Q3,9383.0,2021-09-30,-0.1475372761487961,11.0,37.209999084472656,2629444.5853042603,16547,2021-07-29,2021-06-30,352010,-0.027314922,-6,-8,Thursday,Thursday,0.75,above_median,0.25
889,13967,2021Q4,9386.0,2021-12-31,0.0718515068292617,11.0,39.83000183105469,2821079.3696899414,16548,2021-10-28,2021-09-30,352010,0.0441488,0,-2,Thursday,Thursday,0.75,below_median,0.25
890,13969,2021Q1,9389.0,2021-03-31,0.0356125459074974,11.0,14.380000114440918,138882.0411052704,16570,2021-03-04,2020-12-31,402030,0.049231596,0,-2,Thursday,Thursday,0.75,below_median,0.25
891,13969,2021Q2,9392.0,2021-06-30,-0.0452261380851268,11.0,15.039999961853027,145436.79963111877,16571,2021-05-06,2021-03-31,402030,-0.0110589415,7,5,Thursday,Thursday,0.75,above_median,0.25
892,13969,2021Q3,9395.0,2021-09-30,-0.0301724039018154,11.0,15.579999923706056,150393.73926353455,16572,2021-07-29,2021-06-30,402030,0.04296709,-4,-6,Thursday,Thursday,0.75,above_median,0.25
893,13969,2021Q4,9398.0,2021-12-31,0.0776880010962486,11.0,17.170000076293945,169450.73075294495,16573,2021-11-05,2021-09-30,402030,-0.0073879096,1,-1,Friday,Thursday,0.75,below_median,0.25
937,14149,2021Q1,10290.0,2021-03-31,-0.0914473310112953,11.0,13.8100004196167,449045.9736442566,17580,2021-03-08,2020-12-31,451030,-0.085542575,6,4,Monday,Monday,0.3333333333333333,above_median,0.0
938,14149,2021Q3,10296.0,2021-09-30,-0.0803644880652427,11.0,11.100000381469728,370595.71273612976,17581,2021-08-03,2021-06-30,451030,-0.11015099,-1,-3,Tuesday,Monday,0.3333333333333333,below_median,0.0
939,14149,2021Q4,10299.0,2021-12-31,0.0596420876681804,11.0,10.65999984741211,357291.21488571167,17582,2021-11-03,2021-09-30,451030,-0.014856959,-1,-3,Wednesday,Monday,0.3333333333333333,below_median,0.0
944,14166,2021Q1,10341.0,2021-03-31,-0.0647879391908645,11.0,96.56999969482422,1439762.1254501345,17701,2021-03-02,2020-12-31,201030,-0.017401978,6,4,Tuesday,Tuesday,0.75,above_median,0.0
945,14166,2021Q2,10344.0,2021-06-30,0.0348187908530235,11.0,94.51000213623048,1434378.3024215698,17702,2021-05-12,2021-03-31,201030,0.01728923,6,4,Wednesday,Tuesday,0.75,above_median,0.0
946,14166,2021Q3,10347.0,2021-09-30,-0.0670137405395507,11.0,98.56999969482422,1516203.735305786,17703,2021-08-10,2021-06-30,201030,0.0873285,6,4,Tuesday,Tuesday,0.75,above_median,0.0
947,14166,2021Q4,10350.0,2021-12-31,0.0503421686589717,11.0,138.1199951171875,2128981.604736328,17704,2021-11-09,2021-09-30,201030,-0.006295818,-1,-3,Tuesday,Tuesday,0.75,below_median,0.0
948,14167,2021Q1,10353.0,2021-03-31,0.0065146517008543,11.0,6.179999828338623,557250.5845212936,17716,2021-03-03,2020-12-31,352010,0.035328194,6,4,Wednesday,Wednesday,0.75,above_median,0.25
949,14167,2021Q2,10356.0,2021-06-30,-0.1074964925646782,11.0,6.309999942779541,570341.9648280144,17717,2021-05-05,2021-03-31,352010,0.03876062,-1,-2,Wednesday,Wednesday,0.75,below_median,0.25
950,14167,2021Q3,10359.0,2021-09-30,0.5364238619804382,11.0,16.239999771118164,1692825.0961418152,17718,2021-08-04,2021-06-30,352010,0.024020635,0,-2,Wednesday,Wednesday,0.75,below_median,0.25
951,14167,2021Q4,10362.0,2021-12-31,0.1436388194561005,11.0,16.719999313354492,1927431.3608455656,17719,2021-11-09,2021-09-30,352010,-0.06874045,8,6,Tuesday,Wednesday,0.75,above_median,0.25
963,14185,2021Q1,10502.0,2021-03-31,0.0139586823061108,11.0,36.31999969482422,613699.0348434448,17968,2021-02-17,2020-12-31,251010,-0.10122573,-7,-7,Wednesday,Thursday,0.5,above_median,0.0
964,14185,2021Q2,10505.0,2021-06-30,-0.0255376417189836,11.0,29.0,491347.0,17969,2021-05-06,2021-03-31,251010,0.16842869,-4,-6,Thursday,Thursday,0.5,above_median,0.0
965,14185,2021Q3,10508.0,2021-09-30,-0.0588488318026065,11.0,21.90999984741211,372228.9874076843,17970,2021-08-05,2021-06-30,251010,-0.17826876,1,0,Thursday,Thursday,0.5,below_median,0.0
966,14185,2021Q4,10511.0,2021-12-31,-0.0294499918818473,11.0,22.40999984741211,380768.3074073792,17971,2021-11-03,2021-09-30,251010,-0.20209584,-1,-3,Wednesday,Thursday,0.5,below_median,0.0
967,14213,2021Q1,10766.0,2021-03-31,-0.1101135015487671,11.0,33.70000076293945,1328925.8300857544,18042,2021-02-18,2020-12-31,601020,0.040672395,0,-2,Thursday,Friday,0.75,below_median,0.25
968,14213,2021Q2,10769.0,2021-06-30,-0.0109414840117096,11.0,38.869998931884766,1536569.927776337,18043,2021-05-07,2021-03-31,601020,0.04028605,1,-1,Friday,Friday,0.75,below_median,0.25
969,14213,2021Q3,10772.0,2021-09-30,0.0356960147619247,11.0,40.619998931884766,1607698.9377250671,18044,2021-08-06,2021-06-30,601020,-0.013987528,1,-1,Friday,Friday,0.75,below_median,0.25
970,14213,2021Q4,10775.0,2021-12-31,0.2009335160255432,11.0,51.459999084472656,2041315.243682861,18045,2021-11-05,2021-09-30,601020,0.06019021,1,-1,Friday,Friday,0.75,below_median,0.25
971,14221,2021Q1,10810.0,2021-03-31,-0.0503356121480464,11.0,39.38999938964844,731708.6286621094,18127,2021-02-25,2020-12-31,601020,0.049701095,7,5,Thursday,Thursday,0.5,above_median,0.0
972,14221,2021Q2,10813.0,2021-06-30,-0.0479861907660961,11.0,33.33000183105469,629637.0645904541,18128,2021-05-06,2021-03-31,601020,-0.036463235,1,-1,Thursday,Thursday,0.5,below_median,0.0
973,14221,2021Q3,10816.0,2021-09-30,-0.0695730596780777,11.0,31.15999984741211,588643.5571174622,18129,2021-08-04,2021-06-30,601020,0.012815788,-1,-3,Wednesday,Thursday,0.5,below_median,0.0
974,14221,2021Q4,10819.0,2021-12-31,0.1091305911540985,11.0,30.489999771118164,576017.0756759644,18130,2021-11-26,2021-09-30,601020,-0.024401542,22,20,Friday,Thursday,0.5,above_median,0.0
979,14238,2021Q1,10929.0,2021-03-31,-0.0282761584967374,11.0,17.8700008392334,837995.819355011,18280,2021-02-25,2020-12-31,352020,0.1869612,7,5,Thursday,Thursday,0.5,above_median,0.25
980,14238,2021Q2,10932.0,2021-06-30,-0.0171885006129741,11.0,16.010000228881836,752373.950756073,18281,2021-05-05,2021-03-31,352020,0.010529378,-1,-2,Wednesday,Thursday,0.5,below_median,0.25
981,14238,2021Q3,10935.0,2021-09-30,-0.2354124933481216,11.0,11.399999618530272,537851.9820022583,18282,2021-08-04,2021-06-30,352020,-0.05799149,-1,-3,Wednesday,Thursday,0.5,below_median,0.25
982,14238,2021Q4,10938.0,2021-12-31,-0.3049505352973938,11.0,7.019999980926514,340076.879076004,18283,2021-11-04,2021-09-30,352020,0.031443108,0,-2,Thursday,Thursday,0.5,below_median,0.25
987,14245,2021Q1,10978.0,2021-03-31,-0.0810299143195152,11.0,82.44999694824219,7741147.763473511,18374,2021-02-24,2020-12-31,352010,-0.07490602,-5,-7,Wednesday,Wednesday,0.75,above_median,0.25
988,14245,2021Q2,10981.0,2021-06-30,0.1330287605524063,11.0,86.79000091552734,8181259.436302185,18375,2021-05-05,2021-03-31,352010,-0.005642056,-5,-7,Wednesday,Wednesday,0.75,above_median,0.25
989,14245,2021Q3,10984.0,2021-09-30,-0.1908532381057739,11.0,59.27000045776367,5652046.5136528015,18376,2021-08-04,2021-06-30,352010,0.100192755,-1,-2,Wednesday,Wednesday,0.75,below_median,0.25
990,14245,2021Q4,10987.0,2021-12-31,0.0636247992515564,11.0,58.5099983215332,5600986.609325409,18377,2021-11-04,2021-09-30,352010,-0.0078064194,0,-2,Thursday,Wednesday,0.75,below_median,0.25
991,14257,2021Q1,11014.0,2021-03-31,0.2734906077384949,11.0,31.850000381469727,1911350.37289238,18444,2021-02-25,2020-12-31,352010,0.2578432,2,0,Thursday,Thursday,0.75,above_median,0.25
992,14257,2021Q2,11017.0,2021-06-30,-0.1655793190002441,11.0,26.86000061035156,1615172.4167022705,18445,2021-04-29,2021-03-31,352010,0.002759948,-5,-7,Thursday,Thursday,0.75,above_median,0.25
993,14257,2021Q3,11020.0,2021-09-30,-0.1130876764655113,11.0,20.940000534057617,1282679.732713699,18446,2021-07-29,2021-06-30,352010,-0.020689929,0,-2,Thursday,Thursday,0.75,below_median,0.25
994,14257,2021Q4,11023.0,2021-12-31,-0.0880682468414306,11.0,16.049999237060547,983977.303226471,18447,2021-11-02,2021-09-30,352010,0.060650796,-2,-3,Tuesday,Thursday,0.75,above_median,0.25
995,14258,2021Q3,11032.0,2021-09-30,-0.0188132617622613,11.0,6.78000020980835,192341.82595205307,18468,2021-08-05,2021-06-30,253010,0.03128165,1,-1,Thursday,Thursday,0.5,below_median,0.0
996,14258,2021Q4,11035.0,2021-12-31,0.0469043143093586,11.0,5.579999923706055,158360.39783477783,18469,2021-11-03,2021-09-30,253010,-0.03684639,-1,-3,Wednesday,Thursday,0.5,below_median,0.0
997,14263,2021Q1,11062.0,2021-03-31,-0.0742335766553878,11.0,53.75,3613935.0,18500,2021-02-17,2020-12-31,352010,-0.015165643,-6,-8,Wednesday,Monday,0.25,above_median,0.25
998,14263,2021Q2,11065.0,2021-06-30,0.0238156300038099,11.0,39.97999954223633,2697530.529113769,18501,2021-05-10,2021-03-31,352010,-0.060788885,5,3,Monday,Monday,0.25,above_median,0.25
999,14263,2021Q3,11068.0,2021-09-30,-0.0345042571425437,11.0,46.45000076293945,3299436.4541931152,18502,2021-07-29,2021-06-30,352010,0.17302479,0,-2,Thursday,Monday,0.25,below_median,0.25
1000,14263,2021Q4,11071.0,2021-12-31,-0.006750211585313,11.0,41.20000076293945,2930267.6542625427,18503,2021-11-09,2021-09-30,352010,-0.021081125,7,6,Tuesday,Monday,0.25,above_median,0.25
1017,14313,2021Q3,11373.0,2021-09-30,-0.0775757431983947,11.0,15.220000267028809,89371.84156799316,18876,2021-08-12,2021-06-30,201040,-0.028416578,1,-2,Thursday,Thursday,0.5,below_median,0.0
1018,14313,2021Q4,11376.0,2021-12-31,-0.1554621458053589,11.0,12.0600004196167,71057.52247238159,18877,2021-11-10,2021-09-30,201040,0.022308595,-1,-3,Wednesday,Thursday,0.5,below_median,0.0
1019,14316,2021Q1,11379.0,2021-03-31,-0.2387843132019043,11.0,10.520000457763672,789652.2743606567,18897,2021-02-11,2020-12-31,352010,-0.097232096,0,-2,Thursday,Thursday,0.5,below_median,0.25
1020,14316,2021Q2,11382.0,2021-06-30,0.1120689660310745,11.0,10.31999969482422,777446.8570098877,18898,2021-05-03,2021-03-31,352010,-0.06839796,-2,-3,Monday,Thursday,0.5,above_median,0.25
1021,14316,2021Q3,11385.0,2021-09-30,0.0034482723567634,11.0,5.820000171661377,439421.6529607773,18899,2021-08-05,2021-06-30,352010,-0.2999527,1,0,Thursday,Thursday,0.5,below_median,0.25
1022,14316,2021Q4,11388.0,2021-12-31,-0.0748201459646225,11.0,6.429999828338623,487046.7669973373,18900,2021-11-03,2021-09-30,352010,0.3284764,1,0,Wednesday,Thursday,0.5,below_median,0.25
1041,14338,2021Q1,11513.0,2021-03-31,-0.0223156698048114,11.0,120.91999816894533,33568358.85168457,19188,2021-02-17,2020-12-31,253010,0.026209338,8,6,Wednesday,Wednesday,0.75,above_median,0.0
1042,14338,2021Q2,11516.0,2021-06-30,-0.037119772285223,11.0,120.62000274658205,33596771.84501648,19189,2021-05-05,2021-03-31,253010,-0.08262219,-1,-3,Wednesday,Wednesday,0.75,below_median,0.0
1043,14338,2021Q3,11519.0,2021-09-30,0.0580650307238102,11.0,132.11000061035156,36817207.63009644,19190,2021-07-29,2021-06-30,253010,0.021364,-7,-9,Thursday,Wednesday,0.75,above_median,0.0
1044,14338,2021Q4,11522.0,2021-12-31,0.154882624745369,11.0,155.99000549316406,43477846.31106568,19191,2021-10-27,2021-09-30,253010,0.03346884,-7,-9,Wednesday,Wednesday,0.75,above_median,0.0
1045,14359,2021Q1,11628.0,2021-03-31,-0.1260401606559753,11.0,43.060001373291016,2507039.399955749,19261,2021-02-23,2020-12-31,352010,-0.0140650375,-1,-1,Tuesday,Wednesday,0.5,below_median,0.0
1046,14359,2021Q2,11631.0,2021-06-30,-0.1032240614295006,11.0,34.4900016784668,2011284.4478797915,19262,2021-05-05,2021-03-31,352010,-0.037344176,-1,-3,Wednesday,Wednesday,0.5,below_median,0.0
1047,14359,2021Q3,11634.0,2021-09-30,-0.0357248038053512,11.0,32.65999984741211,1909140.2910804749,19263,2021-08-04,2021-06-30,352010,0.03551195,1,-1,Wednesday,Wednesday,0.5,below_median,0.0
1048,14359,2021Q4,11637.0,2021-12-31,0.1076752543449402,11.0,40.119998931884766,2381362.656600952,19264,2021-11-08,2021-09-30,352010,-0.10275511,4,2,Monday,Wednesday,0.5,above_median,0.0
1074,14432,2021Q1,11869.0,2021-03-31,-0.0423370003700256,11.0,33.93000030517578,2752876.644760132,19532,2021-02-25,2020-12-31,352020,-0.019975003,-4,-6,Thursday,Monday,0.5,above_median,0.25
1075,14432,2021Q2,11872.0,2021-06-30,0.0357777178287506,11.0,40.81999969482422,3319155.815185547,19533,2021-05-10,2021-03-31,352020,0.13478933,4,2,Monday,Monday,0.5,above_median,0.25
1076,14432,2021Q3,11875.0,2021-09-30,0.1228915005922318,11.0,37.27999877929688,3033734.460662842,19534,2021-08-09,2021-06-30,352020,-0.1430453,0,-2,Monday,Monday,0.5,below_median,0.25
1077,14432,2021Q4,11878.0,2021-12-31,0.2929842174053192,11.0,52.34000015258789,4285965.592494965,19535,2021-11-09,2021-09-30,352020,-0.017106855,1,-1,Tuesday,Monday,0.5,below_median,0.25
1081,14434,2021Q1,11893.0,2021-03-31,0.0689562559127807,11.0,79.68000030517578,1660849.926361084,19570,2021-02-09,2020-12-31,252020,0.015282382,5,3,Tuesday,Thursday,0.5,above_median,0.25
1082,14434,2021Q2,11896.0,2021-06-30,-0.0649068653583526,11.0,73.33000183105469,1528710.548171997,19571,2021-05-04,2021-03-31,252020,0.0012522048,-2,-4,Tuesday,Thursday,0.5,above_median,0.25
1083,14434,2021Q3,11899.0,2021-09-30,-0.0226256307214498,11.0,69.9800033569336,1458383.269958496,19572,2021-08-26,2021-06-30,252020,-0.09180117,0,-2,Thursday,Thursday,0.5,below_median,0.25
1084,14434,2021Q4,11902.0,2021-12-31,-0.0106520494446158,11.0,68.7300033569336,1436388.3401565552,19573,2021-11-04,2021-09-30,252020,0.029828666,-1,-3,Thursday,Thursday,0.5,below_median,0.25
1085,14436,2021Q1,11917.0,2021-03-31,-0.1955630481243134,11.0,113.86000061035156,7678604.581161499,19595,2021-02-11,2020-12-31,352010,-0.098205395,0,-2,Thursday,Tuesday,0.5,below_median,0.25
1086,14436,2021Q2,11920.0,2021-06-30,-0.0625307336449623,11.0,95.3499984741211,6461392.646598816,19596,2021-05-04,2021-03-31,352010,0.017025258,-2,-3,Tuesday,Tuesday,0.5,above_median,0.25
1087,14436,2021Q3,11923.0,2021-09-30,-0.0633502826094627,11.0,90.19000244140624,6129492.945922852,19597,2021-08-02,2021-06-30,352010,0.05582993,4,2,Monday,Tuesday,0.5,above_median,0.25
1088,14436,2021Q4,11926.0,2021-12-31,0.117772065103054,11.0,84.08999633789062,5831220.796051025,19598,2021-11-02,2021-09-30,352010,-0.034064353,7,5,Tuesday,Tuesday,0.5,above_median,0.25
1089,14440,2021Q1,11941.0,2021-03-31,-0.1898118257522583,11.0,24.96999931335449,1509086.878501892,19621,2021-03-01,2020-12-31,352010,-0.035871223,5,5,Monday,Thursday,0.75,above_median,0.25
1090,14440,2021Q2,11944.0,2021-06-30,-0.0382333509624004,11.0,14.59000015258789,885773.4992637634,19622,2021-05-06,2021-03-31,352010,-0.16138756,-4,-6,Thursday,Thursday,0.75,above_median,0.25
1091,14440,2021Q3,11947.0,2021-09-30,0.1108566224575043,11.0,24.25,1479686.5,19623,2021-07-29,2021-06-30,352010,-0.009885549,0,-2,Thursday,Thursday,0.75,below_median,0.25
1092,14440,2021Q4,11950.0,2021-12-31,0.0872154757380485,11.0,31.040000915527344,1939720.6972122192,19624,2021-10-28,2021-09-30,352010,0.06310523,-7,-9,Thursday,Thursday,0.75,above_median,0.25
1099,14457,2021Q1,12057.0,2021-03-31,-0.1878403425216675,11.0,8.949999809265137,446980.89047431946,19726,2021-03-10,2020-12-31,352010,-0.03506002,9,-3,Wednesday,Wednesday,0.75,above_median,0.25
1100,14457,2021Q2,12060.0,2021-06-30,-0.0167264454066753,11.0,8.229999542236328,412372.3570632935,19727,2021-05-12,2021-03-31,352010,0.16909441,6,4,Wednesday,Wednesday,0.75,above_median,0.25
1101,14457,2021Q3,12063.0,2021-09-30,0.0200668703764677,11.0,6.099999904632568,306823.8952031136,19728,2021-08-04,2021-06-30,352010,0.034557685,0,-2,Wednesday,Wednesday,0.75,below_median,0.25
1102,14457,2021Q4,12064.0,2021-10-29,0.5163934826850891,11.0,9.25,465265.75,19729,2021-11-15,2021-09-30,352010,0.010284517,12,10,Monday,Wednesday,0.75,above_median,0.25
1103,14459,2021Q1,12079.0,2021-03-31,0.0005715141887776,11.0,52.52000045776367,1175712.7302474976,19758,2021-02-24,2020-12-31,351010,0.031656206,1,-1,Wednesday,Wednesday,0.5,below_median,0.25
1104,14459,2021Q2,12082.0,2021-06-30,0.0543600842356681,11.0,65.16999816894531,1471473.3886566162,19759,2021-05-04,2021-03-31,351010,0.0070363274,0,-2,Tuesday,Wednesday,0.5,below_median,0.25
1105,14459,2021Q3,12085.0,2021-09-30,-0.2720053791999817,11.0,43.09000015258789,979090.983467102,19760,2021-08-04,2021-06-30,351010,-0.24279904,1,-1,Wednesday,Wednesday,0.5,below_median,0.25
1106,14459,2021Q4,12088.0,2021-12-31,0.1129296496510506,11.0,34.0,772888.0,19761,2021-11-04,2021-09-30,351010,-0.060786545,1,-1,Thursday,Wednesday,0.5,below_median,0.25
1107,14467,2021Q1,12115.0,2021-03-31,0.0643564537167549,11.0,27.950000762939453,1995937.5044822693,19836,2021-02-22,2020-12-31,352020,-0.06756963,-2,-2,Monday,Monday,0.5,above_median,0.25
1108,14467,2021Q2,12118.0,2021-06-30,0.0010131299495697,11.0,29.63999938964844,2128122.316177368,19837,2021-05-10,2021-03-31,352020,-0.0040130294,4,2,Monday,Monday,0.5,above_median,0.25
1109,14467,2021Q3,12121.0,2021-09-30,0.040328599512577,11.0,27.86000061035156,2001434.583847046,19838,2021-08-05,2021-06-30,352020,-0.044371616,0,-2,Thursday,Monday,0.5,below_median,0.25
1110,14467,2021Q4,12124.0,2021-12-31,0.192982405424118,11.0,16.31999969482422,1168250.8581542969,19839,2021-11-09,2021-09-30,352020,0.08187392,1,-1,Tuesday,Monday,0.5,below_median,0.25
1119,14487,2021Q1,12223.0,2021-03-31,0.0062529654242098,11.0,20.920000076293945,1939137.567071915,19939,2021-02-04,2020-12-31,452030,-0.007809312,2,0,Thursday,Thursday,0.5,above_median,0.0
1120,14487,2021Q2,12226.0,2021-06-30,-0.0389484465122222,11.0,19.739999771118164,1831733.798761368,19940,2021-04-22,2021-03-31,452030,-0.01644123,-12,-13,Thursday,Thursday,0.5,above_median,0.0
1121,14487,2021Q3,12229.0,2021-09-30,-0.0630000084638595,11.0,18.739999771118164,1723817.6189460754,19941,2021-07-28,2021-06-30,452030,0.032012634,-1,-2,Wednesday,Thursday,0.5,below_median,0.0
1122,14487,2021Q4,12232.0,2021-12-31,0.0750460922718048,11.0,23.350000381469727,2156255.785226822,19942,2021-10-27,2021-09-30,452030,0.057391655,-1,-3,Wednesday,Thursday,0.5,below_median,0.0
1129,14497,2021Q1,12307.0,2021-03-31,-0.0545906350016593,11.0,7.619999885559082,146654.5177974701,20028,2021-03-31,2020-12-31,352010,-0.029648444,19,-45,Wednesday,Monday,0.5,above_median,0.0
1130,14497,2021Q4,12316.0,2021-12-31,-0.1617852002382278,11.0,6.010000228881836,132406.31504249573,20029,2021-11-15,2021-09-30,352010,0.025726486,24,1,Monday,Monday,0.5,above_median,0.0
1135,14504,2021Q1,12367.0,2021-03-31,0.2175856977701187,11.0,16.34000015258789,1512740.8741264343,20128,2021-02-10,2020-12-31,255020,0.31453845,0,-2,Wednesday,Wednesday,0.75,below_median,0.25
1136,14504,2021Q2,12370.0,2021-06-30,-0.0807822942733764,11.0,10.8100004196167,1009210.8291749954,20129,2021-05-05,2021-03-31,255020,-0.23595616,1,-1,Wednesday,Wednesday,0.75,below_median,0.25
1137,14504,2021Q3,12373.0,2021-09-30,-0.1983471065759659,11.0,5.820000171661377,547737.6761555672,20130,2021-08-05,2021-06-30,255020,-0.2494043,2,0,Thursday,Wednesday,0.75,above_median,0.25
1138,14504,2021Q4,12376.0,2021-12-31,0.0584878511726856,11.0,7.420000076293945,700611.2472038269,20131,2021-11-03,2021-09-30,255020,-0.14783375,-1,-3,Wednesday,Wednesday,0.75,below_median,0.25
1143,14521,2021Q1,12451.0,2021-03-31,-0.0287778452038765,11.0,77.95999908447266,5144658.299583435,20216,2021-02-16,2020-12-31,202020,-0.06492353,5,3,Tuesday,Monday,0.75,above_median,0.0
1144,14521,2021Q2,12454.0,2021-06-30,-0.0379611514508724,11.0,72.4800033569336,4775127.581161499,20217,2021-04-26,2021-03-31,202020,-0.100925244,-1,-3,Monday,Monday,0.75,below_median,0.0
1145,14521,2021Q3,12457.0,2021-09-30,0.0271503031253814,11.0,94.58000183105467,6228755.180587769,20218,2021-07-26,2021-06-30,202020,0.08203633,-1,-2,Monday,Monday,0.75,below_median,0.0
1146,14521,2021Q4,12460.0,2021-12-31,-0.0502492599189281,11.0,95.26000213623048,6263345.140457153,20219,2021-10-25,2021-09-30,202020,0.01070536,-1,-2,Monday,Monday,0.75,below_median,0.0
1147,14532,2021Q1,12535.0,2021-03-31,0.2658227682113647,11.0,36.0,400896.0,20283,2021-02-09,2020-12-31,402010,-0.098925814,5,3,Tuesday,Thursday,0.3333333333333333,above_median,0.3333333333333333
1148,14532,2021Q2,12538.0,2021-06-30,-0.1279069781303406,11.0,46.5,522195.0,20284,2021-05-12,2021-03-31,402010,0.14526653,6,4,Wednesday,Thursday,0.3333333333333333,above_median,0.3333333333333333
1149,14532,2021Q3,12541.0,2021-09-30,0.2784993350505829,11.0,60.02000045776367,681347.0451965332,20285,2021-09-09,2021-06-30,402010,0.19652161,0,-2,Thursday,Thursday,0.3333333333333333,below_median,0.3333333333333333
1167,14554,2021Q1,12739.0,2021-03-31,-0.0353268086910247,11.0,38.22999954223633,2830472.7061080933,20497,2021-02-11,2020-12-31,253020,0.1987973,7,5,Thursday,Thursday,0.5,above_median,0.25
1168,14554,2021Q2,12742.0,2021-06-30,0.1441515684127808,11.0,41.66999816894531,3104748.2235717773,20498,2021-04-28,2021-03-31,253020,-0.007815605,-1,-3,Wednesday,Thursday,0.5,below_median,0.25
1169,14554,2021Q3,12745.0,2021-09-30,-0.0934377312660217,11.0,33.56999969482422,2509357.4771881104,20499,2021-07-29,2021-06-30,253020,-0.046653897,0,-2,Thursday,Thursday,0.5,below_median,0.25
1170,14554,2021Q4,12748.0,2021-12-31,-0.1563682705163956,11.0,20.06999969482422,1520402.8268814087,20500,2021-11-09,2021-09-30,253020,-0.0029301937,14,12,Tuesday,Thursday,0.5,above_median,0.25
1171,14558,2021Q1,12775.0,2021-03-31,0.0893975719809532,11.0,45.209999084472656,16875581.568260193,20555,2021-01-22,2020-12-31,402020,-0.03734844,1,0,Friday,Friday,0.5,below_median,0.0
1172,14558,2021Q2,12778.0,2021-06-30,-0.0890147909522056,11.0,49.84000015258789,18474741.096561432,20556,2021-04-16,2021-03-31,402020,-0.0022600198,-4,-5,Friday,Friday,0.5,above_median,0.0
1173,14558,2021Q3,12781.0,2021-09-30,-0.0349716879427433,11.0,51.04999923706055,18405668.824928284,20557,2021-07-20,2021-06-30,402020,0.038276628,5,2,Tuesday,Friday,0.5,above_median,0.0
1174,14558,2021Q4,12784.0,2021-12-31,0.0388391613960266,11.0,47.61000061035156,17351179.062438965,20558,2021-10-21,2021-09-30,402020,-0.0870797,6,4,Thursday,Friday,0.5,above_median,0.0
1181,14579,2021Q1,12887.0,2021-03-31,-0.0111692836508154,11.0,370.05999755859375,22273541.1930542,20769,2021-02-10,2020-12-31,451030,-0.053751986,7,5,Wednesday,Tuesday,0.75,above_median,0.25
1182,14579,2021Q2,12890.0,2021-06-30,0.1027609035372734,11.0,363.4700012207031,21874715.083465576,20770,2021-05-04,2021-03-31,451030,-0.080415875,7,5,Tuesday,Tuesday,0.75,above_median,0.25
1183,14579,2021Q3,12893.0,2021-09-30,0.014011058025062,11.0,495.75,29791600.5,20771,2021-08-03,2021-06-30,451030,0.102556705,0,-2,Tuesday,Tuesday,0.75,below_median,0.25
1184,14579,2021Q4,12896.0,2021-12-31,-0.0509509183466434,11.0,415.1900024414063,24922195.08654785,20772,2021-11-02,2021-09-30,451030,-0.09338207,-1,-3,Tuesday,Tuesday,0.75,below_median,0.25
1185,14580,2021Q1,12899.0,2021-03-31,-0.1485573649406433,11.0,41.61000061035156,4831462.000869751,20788,2021-02-24,2020-12-31,502010,-0.12918794,0,-2,Wednesday,Wednesday,0.5,below_median,0.25
1186,14580,2021Q2,12902.0,2021-06-30,0.1393939107656479,11.0,33.84000015258789,4439808.020019531,20789,2021-05-10,2021-03-31,502010,-0.10331732,5,3,Monday,Wednesday,0.5,above_median,0.25
1187,14580,2021Q3,12905.0,2021-09-30,-0.0351481884717941,11.0,28.0,3690092.0,20790,2021-08-05,2021-06-30,502010,0.11939381,-4,-6,Thursday,Wednesday,0.5,above_median,0.25
1188,14580,2021Q4,12908.0,2021-12-31,-0.0073737474158406,11.0,17.5,2313570.0,20791,2021-11-03,2021-09-30,502010,-0.2469997,-5,-7,Wednesday,Wednesday,0.5,above_median,0.25
1190,14593,2021Q1,12945.0,2021-03-31,0.0073395958170294,11.0,122.1500015258789,2038232181.2112808,20883,2021-01-27,2020-12-31,452020,-0.018329296,1,-1,Wednesday,Wednesday,0.5,below_median,0.25
1191,14593,2021Q2,12948.0,2021-06-30,0.0991092696785926,11.0,136.9600067138672,2267638887.4811096,20884,2021-04-28,2021-03-31,452020,-0.006688924,-1,-3,Wednesday,Wednesday,0.5,below_median,0.25
